subid	maindown	area	latitude	longitude	elev_mean	slope_mean	rivlen	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22	SLC_23	SLC_24	SLC_25
71036324	71036096	12370854.229210787	50.83247067018622	-115.4384774160433	2006.3828125	0.012842538426	3967.241650241395	0.0	0.0	0.0	0.0	0.0	0.5987303595360545	0.0	0.0	0.0	0.19472974141969804	0.0	0.13107386361978055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030270	71030026	25139651.095073123	51.600547629188	-116.14307211811474	2220.19140625	0.011248863873	6428.977562432082	0.0	0.0	0.0	0.0	0.0	0.05616029022619697	0.0	0.0	0.0	0.275558792329034	0.0	0.34011644124232826	0.0	0.0	0.0	0.0	0.0	0.15204163828232758	0.0	0.0	0.0	0.05461585931818894	0.0674112103253577	0.0	0.0
71029863	71029803	1064127.0355969782	51.420643939393926	-114.84022306397306	1337.48388671875	0.005046015269	1107.359160197168	0.0	0.0	0.0	0.0	0.0	0.0984845958988831	0.0	0.0	0.0	0.9015154041011167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71033334	71028727	122139444.35731868	51.954415909189784	-114.91094746227091	1233.83251953125	0.003829195908	25441.38934495561	0.16880327299300782	0.15187923834652484	0.0	0.0	0.0	0.3103783433586193	0.0	0.0	0.0	0.27926014438426144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022407	71022302	22151651.449787878	51.9642635658915	-114.12242907376337	959.585998535156	0.003265239222	12263.367008530655	0.0	0.0	0.0	0.06614920500707568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10675231406158406	0.0	0.8184707064092442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031506	71028700	123101210.78710958	51.337355303825625	-115.87135055837435	2249.58129882812	0.02946192917	20734.91557234007	0.0	0.0	0.0	0.0	0.0	0.1349488915712848	0.0	0.0	0.0	0.12866110007974413	0.0	0.3479732665696015	0.0	0.0	0.0	0.0	0.0	0.11916872945496358	0.0	0.0	0.0	0.0	0.12219816087032034	0.0	0.0
71024198	71022635	44529923.459567815	52.06296679757233	-114.28399014240938	948.229187011719	0.002854765206	17863.849612399794	0.0	0.0	0.0	0.1326624197182795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8208817557863255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029879	71028097	19229283.6486164	51.06914906599085	-114.60445109358884	1287.68347167969	0.005369641748	9312.525627325427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0879329581752773	0.0	0.8748944299889914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030287	71028852	32081967.51822735	51.4018479414558	-116.05402952349029	2025.60815429688	0.023103988467	12023.977754413163	0.0	0.0	0.0	0.0	0.0	0.3700630277855637	0.0	0.0	0.0	0.21082008221652423	0.0	0.35193899418561225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71036389	71036096	44730714.857222475	50.86259960684177	-115.50480666342422	2156.33056640625	0.008654774829	7068.537550060303	0.0	0.0	0.0	0.0	0.0	0.1498623002120145	0.0	0.0	0.0	0.2728501575312245	0.0	0.4467681310917816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022426	71022160	35839673.295081295	52.02215295249369	-114.00125684475343	930.422607421875	0.002904975071	15192.473048073914	0.0	0.0	0.0	0.14568914179650166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7750141246033635	0.05582041465703147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029715	71029602	3674716.1126876283	51.7055147771318	-114.9848376937984	1314.82629394531	0.004679877293	3114.689610186042	0.0	0.0	0.0	0.0	0.0	0.07129398897870005	0.0	0.0	0.0	0.7161814985141842	0.0	0.17715510189559786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029930	71029770	6414473.095394322	51.477505578800525	-114.82937796373767	1354.59313964844	0.004140898355	3399.023195176896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2687269797754443	0.0	0.6704236337141386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71038722	71035771	133047404.2646822	50.75139123367757	-115.26096234223893	2224.55297851562	0.011431988309	19797.701904843238	0.0	0.0	0.0	0.0	0.0	0.23967676125728204	0.0	0.0	0.0	0.17243632113649798	0.0	0.26434314555932514	0.0	0.0	0.0	0.0	0.0	0.14594280044654526	0.0	0.0	0.050583033139776114	0.0	0.055788796635759565	0.0	0.0
71032682	71029451	142082677.30756867	51.76305572242034	-115.31566463300165	1624.78503417969	0.009089799445	20678.24013369807	0.0	0.0	0.0	0.0	0.0	0.4492022197515267	0.0	0.0	0.0	0.386953213519302	0.0	0.1572742646323356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029639	71029042	3004409.310157505	51.25257031717532	-115.02819120287246	1488.29895019531	0.014658247166	2745.6548378668463	0.0	0.0	0.0	0.0	0.0	0.8635544905596154	0.0	0.0	0.0	0.1364455094403846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71025086	71022639	148411749.3378761	52.19620776816533	-114.08111885435554	944.902404785156	0.00118574271	26942.514985890994	0.0	0.0	0.0	0.1255801813957043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8701978873991921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030100	71028676	19690203.68190655	51.19584339001653	-115.84550009142451	2038.39660644531	0.033148432237	7025.087080560407	0.0	0.0	0.0	0.0	0.0	0.2849172261593782	0.0	0.0	0.0	0.21404452302339355	0.0	0.3798483563463022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023982	71023674	32999312.299007487	52.2924143899451	-114.70942216541516	987.232482910156	0.001161374556	8336.933440882387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07933313533757817	0.05489687938787731	0.0	0.0	0.7223193589072764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71036211	71035946	38852678.491913825	50.621515407344795	-115.15954270437584	2025.33605957031	0.004437693153	6883.168013231032	0.0	0.0	0.0	0.0	0.0	0.18225251714230215	0.0	0.0	0.0	0.11265691488608433	0.0	0.27409810881394026	0.08281705989827023	0.0	0.0	0.0	0.0	0.07954233078439756	0.12869390278912854	0.0	0.0	0.0	0.0	0.0	0.0
71029857	71028585	26894711.333089165	51.20475925182362	-115.57700428294181	1706.83374023438	0.017814940097	10522.294644293943	0.0	0.0	0.0	0.0	0.0	0.1571472191585916	0.0	0.0	0.0	0.6200059267042357	0.0	0.1740614682000532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71024080	71023591	37743519.87591869	52.136447995514345	-114.58644939725258	1000.55352783203	0.00089513942	13939.838840584278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15083455246796004	0.14935812764935835	0.11986418947308271	0.0	0.4967617269661862	0.0	0.061253985874129564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029721	71029391	50471486.42396038	51.41016473177829	-115.08932713814038	1631.19445800781	0.010947250635	10476.549756595923	0.0	0.0	0.0	0.0	0.0	0.8570550546833897	0.0	0.0	0.0	0.14198657542928364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71031177	71029118	164150245.94019976	51.25943801951571	-115.33246476328155	1901.775390625	0.000146408756	23171.87769695053	0.0	0.0	0.0	0.0	0.0	0.11931932753893014	0.0	0.0	0.0	0.1525088986530979	0.0	0.41100843454183633	0.0	0.0	0.0	0.0	0.0	0.06055242744244195	0.07684962510853353	0.0	0.0	0.0	0.0	0.0	0.0
71029963	71029798	14547657.339155206	51.11326360480966	-115.67752107350933	1930.96203613281	0.022759365525	4112.361661665127	0.0	0.0	0.0	0.0	0.0	0.38979688935763424	0.0	0.0	0.0	0.3244007994031604	0.0	0.2617680954309411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030026	71029992	519678.62627117	51.565446735395206	-116.15334192439855	1809.32678222656	0.006830405877	862.5130436667449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.720121562480927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279878437519073	0.0	0.0	0.0
71030177	71029800	24336259.824496232	51.41861381036513	-115.72608049911656	2060.86108398438	0.010916415077	8302.127371293564	0.0	0.0	0.0	0.0	0.0	0.22480087022165224	0.0	0.0	0.0	0.33678917173205764	0.0	0.24747700184170926	0.0	0.0	0.0	0.0	0.0	0.104309323615297	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030189	71027957	44600971.77958723	51.22016035338255	-114.4345469764815	1267.83959960938	0.00570536416	14013.591579176815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5910304134943087	0.0	0.27821649494701667	0.05425035770888685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030231	71029189	61711307.99660374	51.570827256944455	-115.55954333043975	2029.00439453125	0.013742227925	14124.605089217546	0.0	0.0	0.0	0.0	0.0	0.1763968831953071	0.0	0.0	0.0	0.34857163587285445	0.0	0.3669014415445762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71024128	71023103	56061493.71777611	52.44231613397075	-114.67773010591436	988.176879882812	0.002185637943	25668.80829200107	0.0	0.0	0.0	0.09687564725846858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10480021086882291	0.0	0.7061752194304957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030034	71029766	36719026.00931329	51.56044518215868	-115.9207820176079	2257.123046875	0.005373393866	6429.6818385452225	0.0	0.0	0.0	0.0	0.0	0.14765068498841	0.0	0.0	0.0	0.2124970425817477	0.0	0.4723936894809395	0.0	0.0	0.0	0.0	0.0	0.10137562340555106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71032973	71029451	173161342.7430949	51.833120969312866	-115.36935383408688	1664.36791992188	0.010544328585	24445.213554790673	0.0	0.0	0.0	0.0	0.0	0.5626236066977842	0.0	0.0	0.0	0.3765783994835716	0.0	0.0561894933531292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023895	71023104	38766345.274265386	52.54707336037859	-114.53828780707671	961.606994628906	0.000977088208	12157.658269714913	0.0	0.0	0.07769760900934651	0.07010529214550827	0.0	0.0	0.0	0.0	0.0	0.08556712954612908	0.0	0.35891503549926757	0.0	0.32384321396640176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029602	71028558	523563.809859995	51.69416666666668	-114.9674574829932	1281.20812988281	0.013623040244	908.613188123375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4285714150007279	0.0	0.563775376335961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029924	71029414	43914577.13510021	51.544014504251585	-115.25851356849346	1665.255859375	0.011929393461	13928.183927986614	0.0	0.0	0.0	0.0	0.0	0.5814356612562973	0.0	0.0	0.0	0.40934820864457744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023994	71023606	46649372.06383143	52.31255093010996	-114.0359108111161	948.769104003906	0.000558531553	10363.25106964337	0.0	0.0	0.0	0.09369197977506236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0912988192264485	0.0	0.7172263860533454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029778	71029528	33231300.75101772	51.61169028829123	-116.31135193536274	2173.41064453125	0.009005042587	8218.827092159168	0.0	0.0	0.0	0.0	0.0	0.14765254476068052	0.0	0.0	0.0	0.22415868465904082	0.0	0.2523297256398382	0.0	0.0	0.0	0.0	0.0	0.1808889953134453	0.0	0.0	0.0	0.05086434092318025	0.05725669388861493	0.0	0.0
71023889	71022679	44067337.125752546	52.21042830316833	-114.31379260058338	928.572998046875	0.001097177627	10645.316416235457	0.0	0.0	0.0	0.1580348066703437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8346674525290249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71025583	71023309	194627548.87514636	52.421452672284914	-114.80905148740374	986.257873535156	0.001521102499	36484.16628101364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17360828232838574	0.0	0.27221318627339713	0.0	0.4787008106991769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023778	71023477	5501389.05293413	52.65504198352347	-114.54823669201524	953.865478515625	0.000803407512561	2489.39668690044	0.0	0.0	0.06523072475750695	0.0	0.0	0.0	0.0	0.0	0.0	0.10054329350377321	0.13673024909259296	0.6745507961986972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029770	71029434	22169333.226528246	51.465290021797124	-114.78047368208605	1355.81481933594	0.006422873665	10349.88821904157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7411394168955154	0.0	0.2265716676791962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71035946	71035771	24002525.053626217	50.6584803140646	-115.14405306478525	1863.81958007812	3.1312544e-05	6381.185385265727	0.0	0.0	0.0	0.0	0.0	0.4792116610057918	0.0	0.0	0.0	0.1636063116817824	0.0	0.13807052303950945	0.09794266905312168	0.0	0.0	0.0	0.0	0.0	0.0773813612858167	0.0	0.0	0.0	0.0	0.0	0.0
71029803	71029434	57768000.395343184	51.413016655811006	-114.78343491206856	1373.34936523438	0.003180373971	10230.482312467608	0.0	0.0	0.0	0.0	0.0	0.17239918833064405	0.0	0.0	0.0	0.7622370975551342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029759	71029334	87378793.09192327	51.456398858910596	-114.28348180812496	1151.55834960938	0.00353477855	16698.529887783254	0.0	0.0	0.0	0.0924524922837499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.90754750771625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71022409	71022253	221602657.8340116	52.01386514890365	-114.94995746752207	1215.07885742188	0.005010768137	45555.61247331747	0.0678689661178745	0.0	0.0	0.0	0.0	0.40779520063289876	0.0	0.0	0.0	0.22473190930836368	0.0	0.09077516305789536	0.0	0.0711670404074859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71029766	71029646	14550964.273533074	51.61624249111194	-115.93637029545174	2024.23352050781	0.011396607173	3934.970103050893	0.0	0.0	0.0	0.0	0.0	0.3364952043365629	0.0	0.0	0.0	0.33401159085697407	0.0	0.19021542822370527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71030035	71029490	77846903.21749708	51.57676196046063	-115.68053162698973	2152.46533203125	0.009731026093	13929.756300307072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18064863662350025	0.0	0.6550882113569023	0.0	0.0	0.0	0.0	0.0	0.05397353180602522	0.0	0.0	0.0	0.0	0.05849718644170941	0.0	0.0
71030202	71029380	72519851.76477537	51.824495763853164	-114.81441453022846	1185.63256835938	0.002218539374	22361.847618725966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.401736280067327	0.0	0.45608461698200353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023591	71022220	5146396.454069434	52.10256858710567	-114.51559670781897	971.720336914062	0.000719325283	4024.122332046831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1451869170203253	0.0	0.7888891868921748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71023936	71023477	92086193.2722572	52.707312393647214	-114.53470897145016	982.092712402344	0.001107543277	15955.951873291886	0.0	0.0	0.0	0.0	0.0	0.05827172257918061	0.0	0.0	0.0	0.25685143966384144	0.1776841736197283	0.34896210671977457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
